Date,Open,High,Low,Close,Adj Close,Volume
2018-05-03,0.218809,0.218809,0.218809,0.218809,0.218809,13091
2018-10-02,0.053027,0.059164,0.052307,0.058936,0.058936,6092
2018-10-03,0.058959,0.058959,0.052809,0.056992,0.056992,669
2018-10-04,0.057001,0.058293,0.052239,0.052239,0.052239,420
2018-10-05,0.052228,0.059093,0.052228,0.059093,0.059093,16443
2018-10-06,0.059116,0.063615,0.055233,0.061925,0.061925,4751
2018-10-07,0.061959,0.063342,0.056910,0.057654,0.057654,1150
2018-10-08,0.057755,0.063121,0.054660,0.058489,0.058489,8727
2018-10-09,0.058466,0.059083,0.054385,0.058254,0.058254,4989
2018-10-10,0.058203,0.058203,0.054174,0.055816,0.055816,25575
2018-10-11,0.055777,0.057533,0.045997,0.046011,0.046011,5233
2018-10-12,0.045994,0.049608,0.045353,0.045969,0.045969,4759
2018-10-13,0.045906,0.060467,0.045818,0.059748,0.059748,33844
2018-10-14,0.059746,0.065333,0.054174,0.063294,0.063294,6937
2018-10-15,0.063414,0.081975,0.056410,0.068017,0.068017,329070
2018-10-16,0.068218,0.080331,0.022346,0.050822,0.050822,226796
2018-10-17,0.050911,0.051566,0.038694,0.050879,0.050879,19399
2018-10-18,0.050764,0.051076,0.044858,0.045576,0.045576,7482
2018-10-19,0.047415,0.047813,0.039730,0.046590,0.046590,8356
2018-10-20,0.046539,0.049148,0.042654,0.047179,0.047179,23187
2018-10-21,0.047204,0.049204,0.046082,0.048934,0.048934,10485
2018-10-22,0.048949,0.048949,0.046181,0.046212,0.046212,9926
2018-10-23,0.046247,0.049605,0.045274,0.049605,0.049605,7063
2018-10-24,0.049599,0.055371,0.045641,0.047352,0.047352,10952
2018-10-25,0.047349,0.055393,0.046758,0.052432,0.052432,13884
2018-10-26,0.050484,0.054575,0.042815,0.047710,0.047710,47637
2018-10-27,0.047748,0.047905,0.044613,0.046209,0.046209,6744
2018-10-28,0.046167,0.049333,0.044484,0.048737,0.048737,11002
2018-10-29,0.048719,0.051000,0.044949,0.046779,0.046779,13864
2018-10-30,0.046790,0.047399,0.040650,0.043251,0.043251,13206
2018-10-31,0.043275,0.046594,0.043153,0.046593,0.046593,6365
2018-11-01,0.046593,0.054350,0.044788,0.046669,0.046669,6392
2018-11-02,0.046669,0.048609,0.045610,0.045740,0.045740,7412
